Sub,Exp,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,inst,Age,Gender,Major,Minor,SchoolUGorG,MuscMajMinor,BeginTrain,AbsPitch,YearsPrac,PeakPrac,Live12Mo,TheoryTrain,FormalYrs,NoOfInst,ActListenMin,SubjectNo,SubRaven,RavenB1,RavenB2,RavenB3,RavenTotal,OspanSub,OspanAccError,OspanMathError,OspanAbsoluteScore,OspanPartialScore,OspanB1,OspanB2,OspanB3,OspanSpeedErrTot,SymSub,SymAccErrTot,SymSpeedErrTot,SspanAbsScore,SspanPartiaScore,SspanB1,SspanB2,SspanB3,SymmErrTot,ToneSub,ToneAccErrTot,ToneMathErrTot,TspanAbsScore,TspanPartScore,TspanB1,TspanB2,TspanB3,ToneSpeedErrTot,BeatSub,BeatTotal,BeatAcc,MelodicSub,MelodicTot,MelodicAcc,Native,Paid
10,1,38,47,28,33,39,75,clarinet,29,FEMALE,BUSINESS MANAGEMENT,HUMAN RESOURCE MANAGEMENT,1,1,9,NO,4,5,2,4,4,1,60,10,10,10,8,10,28,10,8,12,29,47,21,14,12,4,10,1,0,10,19,8,4,7,1,10,8,9,9,36,13,6,17,1,10,11,0.61,10,7,0.54,1,1
11,1,37,47,16,22,32,67,bass,22,FEMALE,psychology,NA,1,1,10,no,1,2,5,0,1,0,60,11,11,7,10,6,23,11,7,12,20,41,11,18,12,5,11,4,1,15,29,11,13,5,5,11,5,5,21,47,14,19,14,0,11,10,0.56,11,7,0.54,1,1
12,1,39,49,21,40,30,82,Voice,19,FEMALE,COMMUNICATION STUDIES,SOCIAL WORK,1,1,10,NO,3,1,1,0,3,1,180,12,12,3,7,7,17,12,7,7,48,65,21,23,21,0,12,2,0,21,34,10,13,11,2,12,8,8,27,55,17,21,17,0,12,14,0.78,12,6,0.46,1,1
13,1,33,42,26,19,34,68,saxophone,23,MALE,Mechanical Engineering,NA,1,1,11,NO,7,1,0,0,7,2,45,13,13,10,10,11,31,13,1,2,68,73,25,23,25,1,13,1,0,27,34,13,10,11,1,13,1,2,37,63,20,22,21,1,13,13,0.72,13,10,0.77,1,1
14,1,48,57,7,24,35,60,none,23,MALE,Interdisciplinary Studies,Anthropology,1,1,,NO,0,0,8,0,0,0,120,14,14,7,8,5,20,14,2,2,33,50,17,16,17,0,14,0,0,15,26,8,8,10,0,14,4,5,10,31,8,9,14,1,14,14,0.78,14,5,0.38,1,1
15,1,47,55,8,24,36,65,piano,19,female,marketing,NA,1,1,,NO,0,0,2,0,0,0,60,15,15,6,10,6,22,15,12,15,20,44,14,17,13,3,15,4,1,9,25,9,10,6,5,15,7,10,4,34,9,12,13,3,15,10,0.56,15,5,0.38,1,1
16,1,55,60,46,45,42,118,piano,19,FEMALE,Music Education,NA,1,2,8,no,11,3,6,4,11,5,180,16,16,8,9,8,25,16,4,4,68,70,25,20,25,0,16,2,0,30,38,13,14,11,2,16,3,5,23,58,20,19,19,2,16,14,0.78,16,6,0.46,1,1
17,1,42,61,39,25,41,86,piano,21,female,Biology,NA,1,1,6,NO,7,2,3,4,8,1,45,17,17,8,10,8,26,17,8,8,36,64,19,24,21,0,17,3,0,24,30,7,14,9,3,17,6,6,14,48,12,18,18,0,17,11,0.61,17,7,0.54,2,1
18,1,36,43,19,29,33,69,Saxophone ,19,MALE,UNDECIDED,NA,1,1,12,NO,2,2,4,0,2,1,45,18,18,4,6,5,15,18,5,8,16,30,10,11,9,3,18,2,0,12,18,8,4,6,2,18,3,6,3,37,9,12,16,3,18,7,0.39,18,7,0.54,1,1
19,1,36,36,24,28,24,68,none,21,male,education,none,1,1,6,no,6,1,7,0,2,0,4,19,19,3,3,3,9,19,37,37,14,23,8,6,9,0,19,23,0,18,24,8,7,9,23,19,36,38,0,26,9,5,12,2,19,12,0.67,19,7,0.54,1,1
20,1,43,35,7,13,39,48,none,21,FEMALE,MARKETING,NA,1,1,,NO,0,0,2,0,0,0,180,20,20,9,9,9,27,20,2,3,32,49,19,13,17,1,20,2,0,10,20,7,8,5,2,20,2,3,10,35,3,18,14,1,20,9,0.5,20,7,0.54,1,1
21,1,23,46,7,18,36,45,none,19,FEMALE,PSYCHOLOGY,NA,1,1,,NO,0,0,2,0,0,0,60,21,21,8,6,5,19,21,6,7,0,12,4,5,3,1,21,2,2,2,9,3,3,3,4,21,4,4,6,29,10,13,6,0,21,11,0.61,21,8,0.62,1,1
22,1,37,42,8,28,34,53,piano,19,FEMALE,Biology,NA,1,1,10,NO,0,0,2,0,0,0,120,22,22,10,7,9,26,22,4,6,42,50,6,21,23,2,22,1,1,16,26,10,4,12,2,22,5,5,5,24,10,9,5,0,22,12,0.67,22,7,0.54,1,1
23,1,41,51,7,31,35,60,piano ,18,FEMALE,FINANCE,NA,1,1,,NO,0,0,2,0,0,0,90,23,23,7,7,7,21,23,3,3,44,58,21,18,19,0,23,3,1,19,29,7,10,12,4,23,1,4,18,49,15,15,19,3,23,10,0.56,23,8,0.62,1,1
